name_nm,perf_artist_tx,duration_no,isrc_number_tx,perf_pline_tx,status_ky,last_upd_src_sys_ky,explicit_lyrics_in,rep_owner_ky,taken_from_isrc_id,track_media_ky,track_type_ky,updated_flag_in,track_ext,raas_track_no,track_no,error_flag_in,track_subtype_ky,set_complete_in,c_line,grid_id,related_audio_isrc,live_indicator,rep_owner_parent_ky,raas_init_dt,set_complete_dt,language_ky,confidential_flag,related_audio_isrc_reviewed_in,cline_for_lyrics,audio_encoding_ky,video_encoding_ky,orig_release_date,orig_rel_date_override
,,0,,"(P) 2022 FANTASIA MUSIC CO., LTD., exclusively distributed by Sony Music Entertainment Taiwan Ltd.",R,1,,1687632589,,1,78,,  ,1465445/13,D2049146620220718,N,1,N,,,,,900091668,2022-07-19,,99,N,,,0.0,,,N
,,0,,(P) 2022 Sony Music Entertainment Brasil ltda.,R,1,,900091670,,1,1,,  ,,F1055231320220715,N,1,Y,,,,,900091670,2022-07-15,2022-10-07,18,N,,,0.0,,,N
,,219,DEC712203481,(P) 2022 EUROPA - a division of Sony Music Entertainment Germany GmbH,R,1,,900091642,,1,78,,  ,,N0854141320220718,N,1,Y,,A10301A00048672674,,,900091642,2022-07-18,2022-07-21,10,N,,,0.0,,2022-08-12,N
Acoustic,,404,USA5W2200584,"(P) 2022 Provident Label Group LLC, a division of Sony Music Entertainment",R,1,,1507960118,,1,78,,  ,,Z1417046220220714,N,1,Y,,A10301A0004871063Y,USA5W2200583,,900093290,2022-07-14,2022-07-14,21,N,,,9.0,,2022-08-26,Y
Live,,433,DEE862201114,(P) 2022 Sony Music Entertainment Germany GmbH,R,1,,900091642,,1,78,,  ,,P1010488520220720,N,1,Y,,A10301A00048708793,,,900091642,2022-07-20,2022-07-28,99,N,,,0.0,,2022-11-04,N
music underlaying words,,27,,,R,1,,900093434,,2,6,,  ,,E1655283820220719,N,1,Y,,,,,900094151,2022-07-19,2022-07-19,21,N,,,0.0,,,N
