name_nm,status_ky,last_upd_src_sys_ky,error_flag_in,participant_no,change_ind,date_of_birth,date_of_death,channelset_ky,talent_type_ky,preferred_flag,isni,language_ky
Ian Matthews,R,1,,6538,1.0,,,,1.0,N,,21.0
Boyz II Men,R,1,,13625,1.0,,,,15.0,N,,21.0
Kasabian,R,1,,319561,1.0,,,,0.0,N,,21.0
Swizz Beatz,R,1,,192749,1.0,,,,1.0,Y,,21.0
Larry Phillabaum,R,1,,284827,1.0,,,,1.0,N,,21.0
Keith Stegall,R,1,,37862,1.0,,,,1.0,,,21.0
Olaf Jeglitza,R,1,,263639,1.0,,,,1.0,N,,21.0
João Elias Jr.,R,1,,1889475,1.0,,,,1.0,N,,18.0
Michael Binka,R,1,,355201,1.0,,,,1.0,,,21.0
Bob Carlisle,R,1,,17927,1.0,,,,1.0,N,,21.0
Pamela Major,R,1,,163645,1.0,,,,1.0,N,,21.0
Tim Lauber,R,1,,163649,1.0,,,,1.0,N,,21.0
Ellen Foley,R,1,,190644,1.0,,,,1.0,N,,21.0
"T. ""Sunny Boy"" Turpin",R,1,,166922,1.0,,,,1.0,N,,21.0
"Steven ""Stevie J."" Jordan",R,1,,166923,1.0,,,,1.0,N,,21.0
Linda Creed,R,1,,19208,1.0,,,,1.0,N,,21.0
Kim Cooper,R,1,,166928,1.0,,,,1.0,Y,,21.0
T. Stinson-Jackson,R,1,,168871,1.0,,,,1.0,N,,21.0
Naomi Canada Fennell,R,1,,166929,1.0,,,,1.0,N,,21.0
Glen Marchese,R,1,,122296,1.0,,,,1.0,N,,21.0
Devin Davis,R,1,,205606,1.0,,,,1.0,N,,21.0
Joe Blaney,R,1,,206340,1.0,,,,1.0,N,,21.0
Ken Deranteriasian,R,1,,168766,1.0,,,,1.0,N,,21.0
Khris Kellow,R,1,,166934,1.0,,,,1.0,N,,21.0
Victor McCoy,R,1,,169189,1.0,,,,1.0,N,,21.0
Vic Anesini,R,1,,195966,1.0,,,,1.0,N,,21.0
"Kevin ""Shekspere"" Briggs",R,1,,196187,1.0,,,,1.0,N,,21.0
D. Griffin,R,1,,169042,1.0,,,,1.0,N,,21.0
Karla Aponte,R,1,,219056,1.0,,,,1.0,N,,21.0
Nicolia Tye-v Turman,R,1,,169188,1.0,,,,1.0,N,,21.0
Anne Mae Catalino,R,1,,169046,1.0,,,,1.0,N,,21.0
Ferdi Bolland,R,1,,1604555,1.0,,,,1.0,N,,21.0
Homero Aguilar,R,1,,218610,1.0,,,,1.0,N,,21.0
Chris Puram,R,1,,207386,1.0,,,,1.0,N,,21.0
Kevi-Kev,R,1,,169085,1.0,,,,1.0,N,,21.0
Mike Mason,R,1,,169084,1.0,,,,1.0,N,,21.0
Victor Vázquez,R,1,,262504,1.0,,,,1.0,N,,21.0
John Nettlesby,R,1,,290805,1.0,,,,1.0,N,,21.0
Sin Autor,R,1,,324655,1.0,,,,1.0,N,,21.0
David Whitley,R,1,,208535,1.0,,,,1.0,N,,21.0
Luis Gómez Escolar,R,1,,189191,1.0,,,,1.0,N,,21.0
Bob Whitney,R,1,,209181,1.0,,,,1.0,N,,21.0
Gregory Tribbett,R,1,,843134,1.0,,,,1.0,Y,,21.0
Alfred Krings,R,1,,191302,1.0,,,,1.0,N,,21.0
Greg Tribbett,R,1,,245337,1.0,,,,1.0,N,,21.0
K.C. Porter,R,1,,33668,1.0,,,,1.0,N,,21.0
Lascelles Stephens,R,1,,95848,1.0,,,,1.0,N,,21.0
George Noriega,R,1,,193197,1.0,,,,1.0,N,,21.0
Carlos de la Torre,R,1,,249512,1.0,,,,1.0,N,,21.0
Teodoro Bello,R,1,,260973,1.0,,,,1.0,N,,21.0
Robert Kelly,R,1,,237524,1.0,,,,1.0,N,,21.0
Nelson Ned,R,1,,248824,1.0,,,,1.0,N,,21.0
Matt McDonough,R,1,,245336,1.0,,,,1.0,N,,21.0
P!NK,R,1,,190709,1.0,,,,1.0,Y,,21.0
Eliana,R,1,,57049,1.0,,,,1.0,N,,21.0
Mohandas Dewese,R,1,,202441,1.0,,,,1.0,N,,21.0
Manuel Eduardo Castro,R,1,,247177,1.0,,,,1.0,N,,21.0
Gary Paczosa,R,1,,200596,1.0,,,,1.0,N,,21.0
Federico Méndez,R,1,,278779,1.0,,,,1.0,N,,21.0
Jerry Peal,R,1,,317740,1.0,,,,1.0,,,21.0
"Antonio Rayo ""Rayito""",R,1,,432153,1.0,,,,1.0,N,,21.0
José Vega,R,1,,263757,1.0,,,,1.0,N,,21.0
José Miguel Velásquez,R,1,,432154,1.0,,,,1.0,N,,21.0
Martín Urieta,R,1,,223582,1.0,,,,1.0,N,,21.0
Ricardo Arjona,R,1,,277670,1.0,,,,1.0,N,,21.0
Falco feat. Skero,R,1,,1659503,1.0,,,,16.0,N,,21.0
Jose Roig Boada,R,1,,370394,1.0,,,,1.0,N,,21.0
Joan Sebastian,R,1,,223465,1.0,,,,1.0,N,,21.0
Sérgio Knust,R,1,,273979,1.0,,,,1.0,N,,21.0
Marcelão,R,1,,273978,1.0,,,,1.0,N,,21.0
Yasmil Marrufo,R,1,,275717,1.0,,,,1.0,N,,21.0
Marcelo Bonfá,R,1,,171644,1.0,,,,1.0,N,,21.0
,R,1,,387024,1.0,,,,1.0,N,,21.0
James Murray,R,1,,140734,1.0,,,,1.0,N,,21.0
Not Applicable,R,1,,192893,1.0,,,,1.0,N,,21.0
Mudvayne,R,1,,245335,1.0,,,,15.0,Y,,21.0
Ryan Martinie,R,1,,424117,1.0,,,,1.0,Y,,21.0
Laura Cerdan,R,1,,370395,1.0,,,,1.0,N,,21.0
Scott Storch,R,1,,262972,1.0,,,,1.0,Y,,21.0
Regie Hamm,R,1,,278397,1.0,,,,1.0,N,,21.0
John Harris,R,1,,24746,1.0,,,,1.0,N,,21.0
Alberto Aguilera Valadez,R,1,,314140,1.0,,,,1.0,N,,21.0
Reggie Hamm,R,1,,264581,1.0,,,,1.0,N,,21.0
CENCUS,R,1,,1991114,1.0,,,,1.0,N,,21.0
Jon Secada,R,1,,54390,1.0,,,,1.0,Y,,21.0
M. Tena,R,1,,526134,1.0,,,,1.0,N,,21.0
Bruno del Granado,R,1,,808436,1.0,,,,1.0,N,,21.0
Umberto Tavares,R,1,,316790,1.0,,,,1.0,N,,21.0
Manuel Monterrosas,R,1,,315635,1.0,,,,1.0,N,,21.0
Brad Buxer,R,1,,70250,1.0,,,,1.0,N,,21.0
David Cabrera,R,1,,452159,1.0,,,,1.0,N,,21.0
Clive Davis,R,1,,19735,1.0,,,,1.0,N,,21.0
Che Smith,R,1,,664080,1.0,,,,1.0,N,,21.0
Michael Jackson,R,1,,4867,1.0,,2009-06-25 00:00:00,,1.0,Y,,21.0
Alecia Moore,R,1,,272408,1.0,1979-09-08 00:00:00,,,1.0,N,,21.0
Carol Dodds,R,1,,518680,1.0,,,,1.0,N,,21.0
João Andrade,R,1,,370386,1.0,,,,1.0,N,,21.0
Greg Tribbett,R,1,,424116,1.0,,,,1.0,N,,21.0
Gordon Chambers,R,1,,78132,1.0,,,,1.0,N,,21.0
Zé Henrique,R,1,,250431,1.0,,,,1.0,N,,21.0
R. Montiel,R,1,,524578,1.0,,,,1.0,N,,21.0
Ronnie Garrett,R,1,,68893,1.0,,,,1.0,N,,21.0
