name_nm,status_ky,last_upd_src_sys_ky,error_flag_in,participant_no,change_ind,date_of_birth,date_of_death,channelset_ky,talent_type_ky,preferred_flag,isni,language_ky
R. Kelly,R,1,,165853,1.0,,,,1.0,Y,,21.0
Alonzo Jackson,R,1,,168872,1.0,,,,1.0,N,,21.0
A. Nance,R,1,,169056,1.0,,,,1.0,N,,21.0
Ben Stivers,R,1,,981248,1.0,,,,1.0,N,,21.0
Professor Funk,R,1,,143507,1.0,,,,1.0,N,,21.0
Ron Dante,R,1,,172218,1.0,,,,1.0,N,,21.0
Guto Graça Mello,R,1,,194808,1.0,,,,1.0,N,,21.0
Futura,R,1,,129920,1.0,,,,1.0,N,,21.0
Jonathan Cohen,R,1,,1115582,1.0,,,,1.0,N,,21.0
Isaac Phillips,R,1,,163580,1.0,,,,1.0,N,,21.0
B. Carlisle,R,1,,176527,1.0,,,,1.0,N,,21.0
"Robert John ""Mutt"" Lange",R,1,,318953,1.0,,,,1.0,,,21.0
A. Antoine,R,1,,145465,1.0,,,,1.0,N,,21.0
Topper Headon,R,1,,110476,1.0,,,,1.0,Y,,21.0
Carlos David Perez,R,1,,808438,1.0,,,,1.0,N,,21.0
R. Thomas,R,1,,155205,1.0,,,,1.0,N,,21.0
Gilles Thibaut,R,1,,181424,1.0,,,,1.0,N,,21.0
Allen Ginsberg,R,1,,3779,1.0,,,,1.0,N,,21.0
Carlos Martínez,R,1,,1125529,1.0,,,,1.0,N,,21.0
Michael Sullivan,R,1,,84540,1.0,,,,1.0,N,,18.0
Mark Palidino,R,1,,166930,1.0,,,,1.0,N,,21.0
Darren Lighty,R,1,,145450,1.0,,,,1.0,N,,21.0
Patrick Mahoney,R,1,,1736282,1.0,,,,1.0,N,,21.0
Tyren Perry,R,1,,166931,1.0,,,,1.0,Y,,21.0
Hubert Kübler,R,1,,190663,1.0,,,,1.0,N,,21.0
Rodney Liyn Temperton,R,1,,58037,1.0,,,,1.0,N,,21.0
E. Wilson,R,1,,147637,1.0,,,,1.0,N,,21.0
Nigel Green,R,1,,221224,1.0,,,,1.0,,,21.0
Billy Ocean,R,1,,7363,1.0,,,,0.0,N,,21.0
Scott Spock,R,1,,222651,1.0,,,,1.0,Y,,21.0
RJ Ronquillo,R,1,,981247,1.0,,,,1.0,N,,21.0
T. Savage,R,1,,163610,1.0,,,,1.0,N,,21.0
Randy Edelman,R,1,,21118,1.0,,,,1.0,N,,21.0
Juan Quiñonez,R,1,,981408,1.0,,,,1.0,N,,21.0
Chris Anderson,R,1,,105906,1.0,,,,1.0,N,,21.0
Bob Brown,R,1,,169044,1.0,,,,1.0,N,,21.0
Axel Niehaus,R,1,,133595,1.0,,,,1.0,N,,21.0
Chelle Davis,R,1,,163646,1.0,,,,1.0,N,,21.0
Vicente Fernández feat. Alejandro Fernández,R,1,,1531976,1.0,,,,16.0,N,,21.0
Alejandro Fernández,R,1,,204253,1.0,,,,1.0,Y,,21.0
"William ""P Sound"" Thomas",R,1,,166935,1.0,,,,1.0,N,,21.0
Craig Burbidge,R,1,,169080,1.0,,,,1.0,N,,21.0
Serban Ghenea,R,1,,149088,1.0,1969-10-13 00:00:00,,,1.0,Y,,21.0
Marvin,R,1,,119202,1.0,,,,1.0,N,,21.0
John McLaughlin,R,1,,30177,1.0,,,,1.0,,,21.0
Steve Du Berry,R,1,,484008,1.0,,,,1.0,,,21.0
Tamara,R,1,,230987,1.0,,,,1.0,N,,21.0
Marvin And Tamara,R,1,,190445,1.0,,,,0.0,N,,21.0
Heino,R,1,,4319,1.0,,,,0.0,N,,21.0
Gio Bilk,R,1,,16221,1.0,,,,1.0,N,,21.0
Jacky Dreksler,R,1,,37042,1.0,,,,1.0,N,,21.0
Alfons Weindorf,R,1,,46271,1.0,,,,1.0,Y,,21.0
Stefan Georg Fuchs,R,1,,86786,1.0,,,,1.0,N,,21.0
Tony Maserati,R,1,,133730,1.0,,,,1.0,N,,21.0
Robi Rosa,R,1,,164219,1.0,,,,1.0,N,,21.0
Jürgen Urig,R,1,,111066,1.0,,,,1.0,N,,21.0
Martin Ernst,R,1,,111068,1.0,,,,1.0,N,,21.0
Theo Behle,R,1,,112522,1.0,,,,1.0,N,,21.0
Julius Hoppe,R,1,,112524,1.0,,,,1.0,N,,21.0
Reinhard Starke,R,1,,112526,1.0,,,,1.0,N,,21.0
Peter Werneburg,R,1,,112678,1.0,,,,1.0,N,,21.0
Bernd Meinunger,R,1,,134880,1.0,,,,1.0,N,,21.0
<Init_Project_Relations_Kys(Project/Talent Dummy),D,1,,7885,0.0,,,,0.0,,,0.0
<Init_Project_Relations_Kys(Project/Talent Dummy),D,1,,380715,0.0,,,,0.0,,,0.0
<Init_Project_Relations_Kys(Project/Talent Dummy),D,1,,13040,0.0,,,,0.0,,,0.0
Harold Hagopian,R,1,,154110,1.0,,,,1.0,N,,21.0
Nic Hard,R,1,,246536,1.0,,,,1.0,N,,21.0
Johnny Best,R,1,,250112,1.0,,,,1.0,N,,21.0
Hsi-Ling Chang,R,1,,154111,1.0,,,,1.0,N,,21.0
Robert Rapley,R,1,,154316,1.0,,,,1.0,N,,21.0
Rick Crom,R,1,,255554,1.0,,,,1.0,N,,21.0
Bernie Privin,R,1,,154548,1.0,,,,1.0,N,,21.0
Vernon Brown,R,1,,154554,1.0,,,,1.0,Y,,21.0
Victor W. Hawks,R,1,,255556,1.0,,,,1.0,N,,21.0
Jerry Jerome,R,1,,154557,1.0,,,,1.0,Y,,21.0
Kay Walbye,R,1,,255558,1.0,,,,1.0,N,,21.0
Herbie Steward,R,1,,258020,1.0,,,,1.0,N,,21.0
Eugene Lamas,R,1,,156776,1.0,,,,1.0,N,,21.0
Don Paladino,R,1,,258029,1.0,,,,1.0,N,,21.0
Harry Geller,R,1,,159668,1.0,,,,1.0,N,,21.0
Tommy Mace,R,1,,258481,1.0,,,,1.0,Y,,21.0
Freddie Zito,R,1,,258032,1.0,,,,1.0,N,,21.0
Jimmy Pupa,R,1,,258479,1.0,,,,1.0,N,,21.0
Thomas Frost,R,1,,159929,1.0,,,,1.0,N,,21.0
Joe Ferla,R,1,,160133,1.0,,,,1.0,N,,21.0
Spooner,R,1,,161998,1.0,,,,1.0,N,,21.0
Dick Scanlan,R,1,,275581,1.0,,,,1.0,N,,21.0
Terrence McNally,R,1,,154727,1.0,,,,1.0,N,,21.0
Günther Loose,R,1,,162279,1.0,,,,1.0,N,,21.0
Robert Kerns,R,1,,27258,1.0,,,,1.0,N,,21.0
Barney Kessel,R,1,,27270,1.0,,,,1.0,N,,21.0
Les Clarke,R,1,,258019,1.0,,,,1.0,N,,21.0
Jeanine Tesori,R,1,,275580,1.0,,,,1.0,N,,21.0
Johnny Cathcart,R,1,,163337,1.0,,,,1.0,N,,21.0
Sam Mendes,R,1,,176613,1.0,,,,1.0,N,,21.0
Jud DeNaut,R,1,,163344,1.0,,,,1.0,N,,21.0
John McCarthy,R,1,,30075,1.0,,,,1.0,N,,21.0
Neely Plumb,R,1,,163340,1.0,,,,1.0,N,,21.0
Artie Smith,R,1,,182717,1.0,,,,1.0,N,,21.0
Hiroshi Kamayatsu,R,1,,281748,1.0,,,,1.0,N,,21.0
Jary Franco,R,1,,26412,1.0,,,,1.0,N,,21.0
Joaquin J. Lopes,R,1,,163564,1.0,,,,1.0,N,,21.0
Carole King,R,1,,27374,1.0,,,,1.0,N,,21.0
Boston Symphony Orchestra,R,1,,16739,1.0,,,,15.0,Y,,21.0
Bedrich Smetana,R,1,,167059,1.0,1804-01-01 00:00:00,1884-01-01 00:00:00,,1.0,N,,21.0
Akihito Tokunaga,R,1,,291367,1.0,,,,1.0,N,,21.0
State Symphony Orchestra of Tatarstan,R,1,,161102,1.0,,,,15.0,N,,21.0
Boston Pops Orchestra,R,1,,16736,1.0,,,,15.0,N,,21.0
Edouard Lalo,R,1,,28134,1.0,,1892-01-01 00:00:00,,1.0,N,,21.0
Fumiya Fujii,R,1,,360623,1.0,,,,1.0,Y,,21.0
Jay Spears,R,1,,298249,1.0,,,,1.0,N,,21.0
Robert Page,R,1,,32701,1.0,,,,1.0,N,,21.0
Ernie Sabella,R,1,,296990,1.0,,,,1.0,N,,21.0
George Koenig,R,1,,163348,1.0,,,,1.0,Y,,21.0
Max Bruch,R,1,,17209,1.0,,1920-01-01 00:00:00,,1.0,N,,21.0
Chuck Bailey,R,1,,176612,1.0,,,,1.0,N,,21.0
Jay Blackton,R,1,,193187,1.0,,,,1.0,Y,,21.0
Robert Shafer,R,1,,276265,1.0,,,,1.0,N,,21.0
Johnny Green,R,1,,175973,1.0,,,,1.0,N,,21.0
Porky Cohen,R,1,,174687,1.0,,,,1.0,N,,21.0
Herwig Mitteregger,R,1,,30747,1.0,,,,1.0,N,,21.0
Bernard Keville,R,1,,175102,1.0,,,,1.0,N,,21.0
Shirley Verrett,R,1,,40094,1.0,,,,1.0,N,,21.0
Irving Mills,R,1,,30656,1.0,,,,1.0,N,,21.0
Joseph Méry,R,1,,329037,1.0,1798-01-21 00:00:00,1866-06-17 00:00:00,,1.0,N,,21.0
New Philharmonia Orchestra,R,1,,31778,1.0,,,,15.0,Y,,21.0
Patrick S. Brady,R,1,,182127,1.0,,,,1.0,N,,21.0
Jason Stasium,R,1,,169466,1.0,,,,1.0,N,,21.0
Jimmy Mundy,R,1,,31180,1.0,,,,1.0,N,,21.0
David Roy Eldridge,R,1,,230366,1.0,,,,1.0,N,,21.0
Takeshi Hayama,R,1,,332139,1.0,,,,1.0,N,,21.0
Gene Watts,R,1,,181818,1.0,,,,1.0,N,,21.0
James Shaffran,R,1,,352374,1.0,,,,1.0,N,,21.0
Michel Carré,R,1,,17975,1.0,,1872-06-27 00:00:00,,1.0,N,,21.0
Milton Katims,R,1,,430801,1.0,,,,1.0,Y,,21.0
Follies Ensemble,R,1,,1690374,1.0,,,,15.0,N,,21.0
The Philadelphia Orchestra,R,1,,33300,1.0,,,,15.0,Y,,21.0
Pete Scriba,R,1,,182099,1.0,,,,1.0,N,,21.0
Lorenzo da Ponte,R,1,,33628,1.0,,,,1.0,N,,21.0
Cho-Liang Lin,R,1,,376892,1.0,,,,1.0,Y,,21.0
Regina Elliott,R,1,,179330,1.0,,,,1.0,N,,21.0
Howard H. Scott,R,1,,400523,1.0,,,,1.0,N,,21.0
Kosuke Oshima,R,1,,1849499,1.0,,,,1.0,N,,21.0
John Corigliano,R,1,,19049,1.0,1938-02-16 00:00:00,,,1.0,Y,,21.0
Mitchell Parish,R,1,,32850,1.0,1900-07-10 00:00:00,1993-03-31 00:00:00,,1.0,N,,21.0
Thomas Ring,R,1,,187467,1.0,,,,1.0,N,,21.0
Ambrosian Opera Chorus,R,1,,481676,1.0,,,,15.0,N,,21.0
Giorgio Tozzi,R,1,,39316,1.0,,,,1.0,Y,,21.0
Jordyn Tyson,R,1,,234442,1.0,,,,1.0,N,,21.0
Bernhard Potschka,R,1,,400475,1.0,,,,1.0,N,,21.0
Anthony Ruotolo,R,1,,188343,1.0,,,,1.0,N,,21.0
Metropolitan Opera Orchestra,R,1,,30458,1.0,,,,15.0,Y,,21.0
Hannes Hellmann,R,1,,187472,1.0,,,,1.0,N,,21.0
Sir Georg Solti,R,1,,383958,1.0,,,,1.0,N,,21.0
Andrew Kazdin,R,1,,408150,1.0,,,,1.0,Y,,21.0
Axel Gathe,R,1,,411963,1.0,,,,1.0,N,,21.0
Oliver Wilson,R,1,,230362,1.0,,,,1.0,N,,21.0
Harold Enns,R,1,,21551,1.0,,,,1.0,N,,21.0
Guy Klucevsek,R,1,,220612,1.0,,,,1.0,N,,21.0
Allan Schwartzberg,R,1,,183647,1.0,,,,1.0,N,,21.0
Seth Mintz,R,1,,255542,1.0,,,,1.0,N,,21.0
Lennie Hayton,R,1,,42923,1.0,,,,1.0,N,,21.0
Patrick Vaccariello,R,1,,176614,1.0,,,,1.0,N,,21.0
Hans Schmid,R,1,,42269,1.0,,,,1.0,N,,21.0
Thomas Quasthoff,R,1,,54135,1.0,,,,1.0,N,,21.0
Dumas,R,1,,206509,1.0,,,,1.0,N,,21.0
The Cleveland Orchestra,R,1,,219364,1.0,,,,15.0,Y,,21.0
Jon Walton,R,1,,230379,1.0,,,,1.0,Y,,21.0
Octopussy,R,1,,474486,1.0,,,,1.0,N,,21.0
Pat McNaughton,R,1,,230610,1.0,,,,1.0,N,,21.0
Gewandhausorchester Leipzig,R,1,,23373,1.0,,,,15.0,N,,21.0
Stanley Fishelson,R,1,,230559,1.0,,,,1.0,N,,21.0
Kimberly Grigsby,R,1,,234421,1.0,,,,1.0,N,,21.0
Alexander Borodin,R,1,,16725,1.0,,1887-01-01 00:00:00,,1.0,N,,21.0
Iain Fraser,R,1,,202412,1.0,,,,1.0,N,,21.0
Clifford Gordon,R,1,,258212,1.0,,,,1.0,N,,21.0
Charles Gerhardt,R,1,,3702,1.0,,,,1.0,N,,21.0
James Levine,R,1,,5908,1.0,,,,1.0,Y,,21.0
H,R,1,,473714,1.0,,,,1.0,N,,21.0
Charles Coolidge,R,1,,230611,1.0,,,,1.0,N,,21.0
John Morris,R,1,,45027,1.0,,,,1.0,N,,21.0
Sonny Russo,R,1,,239708,1.0,,,,1.0,N,,21.0
Greg Kotis,R,1,,255541,1.0,,,,1.0,N,,21.0
Edita Malovcic,R,1,,1659501,1.0,,,,1.0,N,,21.0
Kisaburo Suzuki,R,1,,308199,1.0,,,,1.0,N,,21.0
Mark Hollmann,R,1,,255540,1.0,,,,1.0,N,,21.0
Haydn Bendall,R,1,,203612,1.0,,,,1.0,N,,21.0
Antonio Tonini,R,1,,240604,1.0,,,,1.0,N,,21.0
Paul Shaffer,R,1,,52981,1.0,,,,1.0,N,,21.0
Charles Munch,R,1,,43964,1.0,,,,1.0,N,,21.0
Producer not documented on available sources,R,1,,406311,1.0,,,,1.0,N,,21.0
Raúl Esparza,R,1,,246518,1.0,,,,1.0,N,,21.0
Christoph Eschenbach,R,1,,3038,1.0,,,,1.0,N,,21.0
Rachel Coloff,R,1,,255555,1.0,,,,1.0,N,,21.0
Hiroki Ino,R,1,,507141,1.0,,,,1.0,N,,21.0
Jankel-Young,R,1,,51001,1.0,,,,1.0,N,,21.0
William Warfield,R,1,,67089,1.0,,,,1.0,N,,21.0
John Alldis Choir,R,1,,58906,1.0,,,,15.0,N,,21.0
Gil Barrios,R,1,,258035,1.0,,,,1.0,N,,21.0
Dale Pierce,R,1,,258030,1.0,,,,1.0,N,,21.0
Jaime Laredo,R,1,,442195,1.0,,,,1.0,N,,21.0
Michael Tree,R,1,,179877,1.0,,,,1.0,N,,21.0
Victor Ford,R,1,,258031,1.0,,,,1.0,N,,21.0
Frankie Socolow,R,1,,258034,1.0,,,,1.0,N,,21.0
Dee Dee Ramone,R,1,,34225,1.0,,,,1.0,N,,21.0
Rudolph Tanza,R,1,,230377,1.0,,,,1.0,N,,21.0
Unknown,R,1,,817810,1.0,,,,1.0,N,,21.0
Johnny Guarnieri,R,1,,61604,1.0,,,,1.0,Y,,21.0
Leningrad Philharmonic Orchestra,R,1,,48828,1.0,,,,15.0,N,,21.0
Elizabeth Norberg-Schulz,R,1,,58791,1.0,,,,1.0,N,,21.0
Van Webster,R,1,,258045,1.0,,,,1.0,N,,21.0
Robert Marcellus,R,1,,576926,1.0,,,,1.0,N,,21.0
Felix Mendelssohn-Bartholdy,R,1,,6674,1.0,1809-02-03 00:00:00,1847-11-14 00:00:00,,1.0,Y,,21.0
Tom Müller,R,1,,291502,1.0,,,,1.0,N,,21.0
TUBE,R,1,,296722,1.0,,,,15.0,Y,,21.0
Billy Butterfield,R,1,,396584,1.0,,1988-01-01 00:00:00,,1.0,Y,,21.0
Yo-Yo Ma,R,1,,48832,1.0,,,,1.0,Y,,21.0
Rafael Kubelik,R,1,,5586,1.0,,,,1.0,N,,21.0
Sir Charles Mackerras,R,1,,6229,1.0,,,,1.0,Y,,21.0
Edward Houser,R,1,,146940,1.0,,,,1.0,N,,21.0
Chris Fama,R,1,,298248,1.0,,,,1.0,N,,21.0
Michael Gore,R,1,,23822,1.0,,,,1.0,N,,21.0
Wolfgang Amadeus Mozart,R,1,,7025,1.0,1756-01-27 00:00:00,1791-12-05 00:00:00,,1.0,N,,21.0
Alexander Schneider,R,1,,36203,1.0,,,,1.0,Y,,21.0
Cole Porter,R,1,,33665,1.0,1891-06-09 00:00:00,1964-10-15 00:00:00,,1.0,N,,21.0
London Symphony Orchestra,R,1,,28945,1.0,,,,15.0,Y,,21.0
Lynn Ahrens,R,1,,65036,1.0,,,,1.0,N,,21.0
Sutton Foster,R,1,,275588,1.0,,,,1.0,N,,21.0
Mstislav Rostropovich,R,1,,78484,1.0,,,,1.0,Y,,21.0
Johnny Mandel,R,1,,78736,1.0,,,,1.0,Y,,21.0
Julia Varady,R,1,,42236,1.0,,,,1.0,N,,21.0
Patrick Wilson,R,1,,80302,1.0,,,,1.0,N,,21.0
Audra McDonald,R,1,,152095,1.0,,,,1.0,N,,21.0
Thomas Dürr,R,1,,56468,1.0,,,,1.0,N,,21.0
Arturo La Porta,R,1,,33655,1.0,,,,1.0,N,,21.0
Fernando Iacopucci,R,1,,25967,1.0,,,,1.0,N,,21.0
Danny Banks,R,1,,144468,1.0,,,,1.0,N,,21.0
Potschka,R,1,,411960,1.0,,,,1.0,N,,21.0
Jimmy Raney,R,1,,8261,1.0,,,,1.0,N,,21.0
Nina Hagen Band,R,1,,31910,1.0,,,,15.0,N,,21.0
Glenn Garlick,R,1,,352977,1.0,,,,1.0,N,,21.0
RCA Italiana Opera Orchestra,R,1,,35626,1.0,,,,15.0,N,,21.0
Nello Santi,R,1,,46391,1.0,,,,1.0,N,,21.0
Thomas Jamerson,R,1,,26342,1.0,,,,1.0,N,,21.0
Jon M. Samuels,R,1,,150955,1.0,,,,1.0,N,,21.0
Bernard Adelstein,R,1,,425954,1.0,,,,1.0,Y,,21.0
Ken Jennings,R,1,,255553,1.0,,,,1.0,N,,21.0
Eddie Sauter,R,1,,35921,1.0,,,,1.0,Y,,21.0
Ralph Burns,R,1,,1416,1.0,,,,1.0,Y,,21.0
Tetsuro Oda,R,1,,307804,1.0,,,,1.0,N,,21.0
George Wendt,R,1,,73984,1.0,,,,1.0,N,,21.0
John Cale,R,1,,1476,1.0,,,,1.0,Y,,21.0
Fernanda Cadoni,R,1,,140899,1.0,,,,1.0,N,,21.0
Harry Rodgers,R,1,,154549,1.0,,,,1.0,N,,21.0
Wolfdieter Maurer,R,1,,77926,1.0,,,,1.0,N,,21.0
Les Jenkins,R,1,,150437,1.0,,,,1.0,N,,21.0
Monica Graul,R,1,,150816,1.0,,,,1.0,N,,21.0
Montserrat Caballé,R,1,,48826,1.0,,,,1.0,N,,21.0
Schiff,R,1,,424724,1.0,,,,1.0,N,,21.0
Ch. Jendruschewitz,R,1,,50885,1.0,,,,1.0,N,,21.0
Mark Feldman,R,1,,158483,1.0,,,,1.0,N,,21.0
National Symphony Orchestra,R,1,,31581,1.0,,,,15.0,N,,21.0
Lene Lovich,R,1,,6131,1.0,,,,1.0,Y,,21.0
Gianna Lollini,R,1,,140898,1.0,,,,1.0,N,,21.0
Sergei Rachmaninoff,R,1,,8201,1.0,1873-04-01 00:00:00,1943-03-28 00:00:00,,1.0,Y,,21.0
Michiya Haruhata,R,1,,393386,1.0,,,,1.0,Y,,21.0
Arleen Augér,R,1,,398297,1.0,,,,1.0,N,,21.0
Columbia Symphony Orchestra,R,1,,383734,1.0,,,,15.0,Y,,21.0
Andreas Bach,R,1,,153383,1.0,,,,1.0,N,,21.0
Lambert Orkis,R,1,,352976,1.0,,,,1.0,N,,21.0
Michael Zimmerling,R,1,,411965,1.0,,,,1.0,N,,21.0
Steven Deur,R,1,,153821,1.0,,,,1.0,N,,21.0
Mike Clements,R,1,,149373,1.0,,,,1.0,N,,21.0
Steven Isserlis,R,1,,58533,1.0,,,,1.0,N,,21.0
Paul Cohen,R,1,,165071,1.0,,,,1.0,N,,21.0
Janos Starker,R,1,,47852,1.0,,,,1.0,N,,21.0
Ofra Harnoy,R,1,,4200,1.0,,,,1.0,N,,21.0
Artie Shaw & His Orchestra,R,1,,36796,1.0,,,,15.0,N,,21.0
Maria Bachmann,R,1,,59577,1.0,,,,1.0,N,,21.0
Jules Barbier,R,1,,15400,1.0,,,,1.0,N,,21.0
Skitch Henderson,R,1,,43936,1.0,,,,1.0,Y,,21.0
Louis Lane,R,1,,412111,1.0,,,,1.0,Y,,21.0
Mary Zatzman,R,1,,352967,1.0,,,,1.0,N,,21.0
Ray Hall,R,1,,158362,1.0,,,,1.0,N,,21.0
Hunter Foster,R,1,,158378,1.0,,,,1.0,N,,21.0
Paul Goodman,R,1,,149908,1.0,,,,1.0,N,,21.0
Simon Rhodes,R,1,,152840,1.0,,,,1.0,N,,21.0
Max Raabe,R,1,,71002,1.0,,,,1.0,N,,21.0
Wulf Weinmann,R,1,,156536,1.0,,,,1.0,N,,21.0
David Zinman,R,1,,62590,1.0,,,,1.0,N,,21.0
Bruce Coughlin,R,1,,158393,1.0,,,,1.0,N,,21.0
Australian Chamber Orchestra,R,1,,68272,1.0,,,,15.0,N,,21.0
Stefan Mikorey,R,1,,178873,1.0,,,,1.0,N,,21.0
Bus Bassey,R,1,,163339,1.0,,,,1.0,Y,,21.0
Hideyuki Kakuno,R,1,,466710,1.0,,,,1.0,N,,21.0
Kurt Demmler,R,1,,57550,1.0,,,,1.0,N,,21.0
Tony Faulkner,R,1,,152591,1.0,,,,1.0,N,,21.0
"John McClanian Best, Jr.",R,1,,152907,1.0,,,,1.0,N,,21.0
George Gershwin,R,1,,3706,1.0,1898-09-26 00:00:00,1937-07-11 00:00:00,,1.0,Y,,21.0
Aram Khachaturian,R,1,,55974,1.0,1903-06-06 00:00:00,1978-05-01 00:00:00,,1.0,Y,,21.0
Freaky Fukin Weirdoz,R,1,,50881,1.0,,,,1.0,N,,21.0
Anton Guadagno,R,1,,44645,1.0,,,,1.0,N,,21.0
Gota Yashiki,R,1,,159234,1.0,,,,1.0,N,,21.0
Arturo Basile,R,1,,704,1.0,,,,1.0,N,,21.0
Chris Hazell,R,1,,176761,1.0,,,,1.0,N,,21.0
Mirella Freni,R,1,,3494,1.0,,,,1.0,N,,21.0
Don Fagerquist,R,1,,186547,1.0,,,,1.0,N,,21.0
Les Burness,R,1,,156893,1.0,,,,1.0,N,,21.0
Ensemble Modern,R,1,,58531,1.0,,,,15.0,N,,21.0
Jack Jenney,R,1,,163338,1.0,,,,1.0,Y,,21.0
Leontyne Price,R,1,,8081,1.0,,,,1.0,Y,,21.0
Cliff Leeman,R,1,,155162,1.0,,,,1.0,N,,21.0
Rolando Panerai,R,1,,32782,1.0,,,,1.0,N,,21.0
Alan Cumming,R,1,,176608,1.0,,,,1.0,N,,21.0
Oklahoma! 1979 Broadway Cast,R,1,,1695406,1.0,,,,1.0,N,,21.0
John Cameron,R,1,,172402,1.0,,,,1.0,N,,21.0
Bud Graham,R,1,,521984,1.0,,,,1.0,N,,21.0
Eugenia Zukerman,R,1,,556602,1.0,,,,1.0,Y,,21.0
Arthur M. Fierro,R,1,,182533,1.0,,,,1.0,N,,21.0
Virgilio Carbonari,R,1,,798458,1.0,,,,1.0,N,,21.0
Daniel Barenboim,R,1,,679,1.0,,,,1.0,Y,,21.0
Calvin Marsh,R,1,,141326,1.0,,,,1.0,N,,21.0
Vincenzo Bellini,R,1,,15878,1.0,1801-11-03 00:00:00,1835-09-23 00:00:00,,1.0,N,,21.0
Brian Calicchia,R,1,,182026,1.0,,,,1.0,N,,21.0
Paul Brizzi,R,1,,147558,1.0,,,,1.0,N,,21.0
Claude Bowen,R,1,,192864,1.0,,,,1.0,N,,21.0
Ralf Goldkind,R,1,,88818,1.0,,,,1.0,N,,21.0
James P. Nichols,R,1,,178190,1.0,,,,1.0,N,,21.0
John Pfeiffer,R,1,,152837,1.0,,,,1.0,N,,21.0
Rob Marshall,R,1,,72506,1.0,,,,1.0,N,,21.0
Chuck Daellenbach,R,1,,181819,1.0,,,,1.0,N,,21.0
Chris Hilt,R,1,,171976,1.0,,,,1.0,N,,21.0
Leonard Bernstein,R,1,,877,1.0,,1990-01-01 00:00:00,,1.0,Y,,21.0
Cy Coleman,R,1,,1927,1.0,1929-06-14 00:00:00,2004-11-18 00:00:00,,1.0,N,,21.0
Hartmut Schulze-Gerlach,R,1,,64836,1.0,,,,1.0,N,,21.0
Samuel Barber,R,1,,665,1.0,1910-03-09 00:00:00,1981-01-23 00:00:00,,1.0,N,,21.0
Al Cohn,R,1,,1915,1.0,,,,1.0,N,,21.0
Praeker,R,1,,411962,1.0,,,,1.0,N,,21.0
Alan Titus,R,1,,39176,1.0,,,,1.0,N,,21.0
John Kander,R,1,,79029,1.0,1927-03-18 00:00:00,,,1.0,N,,21.0
Al Dubin,R,1,,20610,1.0,,,,1.0,N,,21.0
Chris Spedding,R,1,,9595,1.0,,,,1.0,Y,,21.0
Shou Sato,R,1,,1848643,1.0,,,,1.0,N,,21.0
Fritz Reiner,R,1,,8376,1.0,,,,1.0,Y,,21.0
Hoagy Carmichael,R,1,,1558,1.0,1899-11-22 00:00:00,1981-12-27 00:00:00,,1.0,Y,,21.0
Buddy Rich,R,1,,8446,1.0,,,,1.0,N,,21.0
Richard Stilgoe,R,1,,75794,1.0,,,,1.0,N,,21.0
Jens Lindemann,R,1,,181784,1.0,,,,1.0,N,,21.0
Harry Warren,R,1,,41421,1.0,1893-12-24 00:00:00,1981-09-22 00:00:00,,1.0,N,,21.0
John McClure,R,1,,205385,1.0,,,,1.0,N,,21.0
G. Feege,R,1,,93794,1.0,,,,1.0,N,,21.0
Robert Casadesus,R,1,,107270,1.0,1899-04-07 00:00:00,1972-09-19 00:00:00,,1.0,Y,,21.0
Gustav Holst,R,1,,43306,1.0,,1934-01-01 00:00:00,,1.0,Y,,21.0
Kenneth Collins,R,1,,86862,1.0,,,,1.0,N,,21.0
Bälz,R,1,,92667,1.0,,,,1.0,N,,21.0
Luciano Pavarotti,R,1,,7707,1.0,1935-10-12 00:00:00,2007-09-06 00:00:00,,1.0,Y,,21.0
Hank Freeman,R,1,,192861,1.0,,,,1.0,N,,21.0
Renate Wolter-Seevers,R,1,,194144,1.0,,,,1.0,N,,21.0
Morris Rayman,R,1,,230368,1.0,,,,1.0,N,,21.0
Florin Paul,R,1,,83966,1.0,,,,1.0,N,,21.0
Ray Conniff,R,1,,18909,1.0,,,,1.0,N,,21.0
Herbert Kretzmer,R,1,,44947,1.0,1925-10-25 00:00:00,,,1.0,N,,21.0
Gareth Cousins,R,1,,203614,1.0,,,,1.0,Y,,21.0
Pyotr Ilyich Tchaikovsky,R,1,,10548,1.0,1840-05-07 00:00:00,1893-11-06 00:00:00,,1.0,Y,,21.0
Ted Vesely,R,1,,228186,1.0,,,,1.0,Y,,21.0
Michael Schade,R,1,,118646,1.0,,,,1.0,N,,21.0
Michael Gläser,R,1,,48991,1.0,,,,1.0,N,,21.0
Al Beller,R,1,,228174,1.0,,,,1.0,N,,21.0
Stephen Sondheim,R,1,,9509,1.0,,,,1.0,N,,21.0
Rosalind Elias,R,1,,21404,1.0,,,,1.0,N,,21.0
Yvonne Yedibalian,R,1,,196627,1.0,,,,1.0,N,,21.0
Sir Colin Davis,R,1,,2320,1.0,,,,1.0,N,,21.0
Werner W. Wallroth,R,1,,92659,1.0,,,,1.0,N,,21.0
Frederick Delius,R,1,,90287,1.0,1862-01-29 00:00:00,1934-06-10 00:00:00,,1.0,N,,21.0
Tonhalle-Orchester Zürich,R,1,,1626747,1.0,,,,1.0,Y,,21.0
Liszt Ferenc Kamarazenekar,R,1,,1591934,1.0,,,,1.0,N,,21.0
Michael Forest,R,1,,116414,1.0,,,,1.0,N,,21.0
