language_ky,trans_col_type_ky,trans_col_value,status_ky,isdefault,ietf_lang_script_tag,use_as_local_language,is_native,id_no
75,11,John H. Mercer,R,N,ja-Hani,Y,N,0
21,11,k.d. lang,R,N,en,N,Y,0
75,11,k.d.ラング,R,N,ja-Hani,Y,N,0
76,11,ケイディーラング,R,N,ja-Kana,Y,N,0
21,11,E. DeLange,R,N,en,N,Y,0
21,11,Justin Trantor,R,N,en,N,Y,0
21,11,Lori McKenna,R,N,en,N,Y,0
21,11,Her Voice Cast,R,N,en,N,N,0
21,11,Hillary Lee Lindsey,R,N,en,N,Y,0
21,11,Vincent Clarke,R,N,en,N,Y,0
21,11,Phillpott,R,N,en,N,Y,0
21,11,Eigner,R,N,en,N,Y,0
21,11,Not Applicable,R,N,en,N,N,0
75,11,Not Applicable,R,N,ja-Hani,Y,N,0
21,11,Blue Leach,R,N,en,N,N,0
21,11,Emer Patten,R,N,en,N,Y,0
21,11,Dave Gahan,R,N,en,N,Y,0
21,11,Martin L. Gore,R,N,en,N,Y,0
21,11,Andy Fletcher,R,N,en,N,Y,0
21,11,Depeche Mode,R,N,en,N,Y,0
