name_nm,status_ky,last_upd_src_sys_ky,error_flag_in,participant_no,change_ind,date_of_birth,date_of_death,channelset_ky,talent_type_ky,preferred_flag,isni,language_ky
<Init_Project_Relations_Kys(Project/Talent Dummy),D,1,,69596,0.0,,,,0.0,,,0.0
Sadandsolo,R,1,,2121424,1.0,,,,0.0,N,,21.0
