OBJECT_TYPE_ID,SOURCE_SYS_KY,KEY_VALUE_TX,OBJECT_KY,STATUS_KY,SOURCE_DT
1,1,171392,1700738865,R,2023-03-03 14:08:04
1,1,156248,1700738879,R,2023-03-03 14:08:09
1,1,171368,1700738988,R,2023-03-03 14:08:12
1,1,171398,1700739241,R,2023-03-03 14:08:20
1,1,171373,1700739328,R,2023-03-03 14:08:24
1,1,171369,1700739527,R,2023-03-03 14:08:27
1,1,171363,1700739663,R,2023-03-03 14:08:31
1,1,171365,1700739777,R,2023-03-03 14:08:35
1,1,171377,1700740336,R,2023-03-03 14:08:39
1,1,171393,1700740853,R,2023-03-03 14:08:47
1,1,171387,1700740900,R,2023-03-03 14:08:50
1,1,171364,1700740974,R,2023-03-03 14:08:54
1,1,165889,1700740998,R,2023-03-03 14:08:58
1,1,171362,1700741055,R,2023-03-03 14:09:03
1,1,171359,1700741078,R,2023-03-03 14:09:06
1,1,171240,1700741268,R,2023-03-03 14:09:14
1,1,171375,1700741326,R,2023-03-03 14:09:18
1,1,171239,1700741426,R,2023-03-03 14:09:22
1,1,171356,1700741508,R,2023-03-03 14:09:26
1,1,171399,1700741877,R,2023-03-03 14:09:30
1,1,171246,1700742486,R,2023-03-03 14:09:34
1,1,171241,1700742917,R,2023-03-03 14:09:38
1,1,171394,1700742976,R,2023-03-03 14:09:42
1,1,171360,1700743171,R,2023-03-03 14:09:49
1,1,162614,1700743217,R,2023-03-03 14:09:53
1,1,171370,1700743245,R,2023-03-03 14:09:56
1,1,171386,1700743284,R,2023-03-03 14:10:04
1,1,171245,1700743458,R,2023-03-03 14:10:10
1,1,171378,1700743852,R,2023-03-03 14:10:14
1,1,171366,1700743992,R,2023-03-03 14:10:26
1,1,160136,1700744169,R,2023-03-03 14:10:29
1,1,171371,1700744326,R,2023-03-03 14:10:33
1,1,156255,1700744403,R,2023-03-03 14:10:37
1,1,160360,1700744430,R,2023-03-03 14:10:41
1,1,171357,1700744454,R,2023-03-03 14:10:45
1,1,171396,1700744633,R,2023-03-03 14:10:49
1,1,171384,1700744673,R,2023-03-03 14:10:53
1,1,171372,1700744781,R,2023-03-03 14:11:01
1,1,171439,1700745824,R,2023-03-03 14:11:32
1,1,171416,1700745864,R,2023-03-03 14:11:36
1,1,171418,1700745967,R,2023-03-03 14:11:40
1,1,171422,1700746391,R,2023-03-03 14:11:43
1,1,171454,1700746591,R,2023-03-03 14:11:46
1,1,171451,1700746680,R,2023-03-03 14:11:50
1,1,171463,1700746824,R,2023-03-03 14:11:54
1,1,171407,1700746918,R,2023-03-03 14:11:58
1,1,171461,1700746991,R,2023-03-03 14:12:01
1,1,171414,1700747170,R,2023-03-03 14:12:06
1,1,171435,1700747281,R,2023-03-03 14:12:10
1,1,172211,1700747454,R,2023-03-03 14:12:17
1,1,171455,1700747507,R,2023-03-03 14:12:21
1,1,171425,1700747546,R,2023-03-03 14:12:24
1,1,171442,1700747573,R,2023-03-03 14:12:27
1,1,171443,1700747600,R,2023-03-03 14:12:31
1,1,171462,1700747679,R,2023-03-03 14:12:35
1,1,171446,1700747976,R,2023-03-03 14:12:46
1,1,171403,1700748139,R,2023-03-03 14:12:49
1,1,171458,1700748353,R,2023-03-03 14:12:57
1,1,171440,1700748391,R,2023-03-03 14:13:01
1,1,171424,1700748677,R,2023-03-03 14:13:04
1,1,171417,1700748786,R,2023-03-03 14:13:12
1,1,171459,1700748878,R,2023-03-03 14:13:15
1,1,171456,1700748902,R,2023-03-03 14:13:19
1,1,171468,1700749090,R,2023-03-03 14:13:24
1,1,171411,1700749128,R,2023-03-03 14:13:27
1,1,172210,1700749421,R,2023-03-03 14:13:34
1,1,171400,1700749440,R,2023-03-03 14:13:38
1,1,171447,1700749582,R,2023-03-03 14:13:46
1,1,171415,1700749783,R,2023-03-03 14:13:50
1,1,171421,1700749866,R,2023-03-03 14:13:54
1,1,171412,1700750229,R,2023-03-03 14:13:58
1,1,171437,1700750333,R,2023-03-03 14:14:02
1,1,171434,1700750857,R,2023-03-03 14:14:06
1,1,171423,1700751108,R,2023-03-03 14:14:10
1,1,171402,1700751147,R,2023-03-03 14:14:14
1,1,171401,1700751188,R,2023-03-03 14:14:18
1,1,171429,1700751270,R,2023-03-03 14:14:22
1,1,171448,1700751399,R,2023-03-03 14:14:29
1,1,171409,1700751589,R,2023-03-03 14:14:37
1,1,171467,1700751619,R,2023-03-03 14:14:41
1,1,171453,1700751715,R,2023-03-03 14:14:45
1,1,121302,1700307827,R,2023-03-03 11:17:55
1,1,1275011,1700307829,R,2023-03-03 11:17:55
1,1,186809,1700307831,R,2023-03-03 11:17:55
1,1,152194,1700723448,R,2023-03-03 14:03:00
1,1,142642,1700723474,R,2023-03-03 14:03:04
1,1,134050,1700723541,R,2023-03-03 14:03:08
1,1,70405,1700723632,R,2023-03-03 14:03:17
1,1,26695,1700723933,R,2023-03-03 14:03:21
1,1,155021,1700724169,R,2023-03-03 14:03:28
1,1,142655,1700724181,R,2023-03-03 14:03:32
1,1,134165,1700724195,R,2023-03-03 14:03:36
1,1,87936,1700724301,R,2023-03-03 14:03:43
1,1,10356,1700724548,R,2023-03-03 14:03:52
1,1,1468529,1700724865,R,2023-03-03 14:04:07
1,1,251380,1700724871,R,2023-03-03 14:04:07
1,1,96648,1700724875,R,2023-03-03 14:04:08
1,1,153602,1700724906,R,2023-03-03 14:04:11
1,1,134172,1700724935,R,2023-03-03 14:04:15
1,1,153592,1700725308,R,2023-03-03 14:04:19
1,1,153606,1700725887,R,2023-03-03 14:04:23
1,1,56499,1700726475,R,2023-03-03 14:04:31
1,1,153623,1700727885,R,2023-03-03 14:04:36
1,1,76541,1700728649,R,2023-03-03 14:04:44
1,1,33607,1700728794,R,2023-03-03 14:04:52
1,1,142646,1700728970,R,2023-03-03 14:04:56
